antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'yogurt'}),frozenset({'whole milk'}),0.283,0.4582,0.1506,0.5322,1.1615,0.0209,1.1582,0.1939
frozenset({'bottled water'}),frozenset({'whole milk'}),0.2137,0.4582,0.1124,0.5258,1.1476,0.0145,1.1426,0.1636
frozenset({'sausage'}),frozenset({'whole milk'}),0.206,0.4582,0.107,0.5193,1.1334,0.0126,1.1271,0.1482
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.3497,0.4582,0.1786,0.5106,1.1145,0.0183,1.1072,0.158
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.3766,0.4582,0.1914,0.5082,1.1091,0.0188,1.1016,0.1578
frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.2337,0.4582,0.1165,0.4984,1.0877,0.0094,1.0801,0.1052
frozenset({'root vegetables'}),frozenset({'whole milk'}),0.2306,0.4582,0.1131,0.4905,1.0706,0.0075,1.0635,0.0857
frozenset({'soda'}),frozenset({'whole milk'}),0.3135,0.4582,0.1511,0.482,1.052,0.0075,1.046,0.072
frozenset({'yogurt'}),frozenset({'other vegetables'}),0.283,0.3766,0.1203,0.4252,1.129,0.0138,1.0846,0.1594
frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.3497,0.3766,0.1467,0.4197,1.1143,0.0151,1.0742,0.1578
frozenset({'whole milk'}),frozenset({'other vegetables'}),0.4582,0.3766,0.1914,0.4177,1.1091,0.0188,1.0706,0.1816
frozenset({'soda'}),frozenset({'other vegetables'}),0.3135,0.3766,0.1242,0.3961,1.0517,0.0061,1.0322,0.0716
frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.283,0.3497,0.1113,0.3935,1.1253,0.0124,1.0722,0.1553
frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.4582,0.3497,0.1786,0.3897,1.1145,0.0183,1.0656,0.1896
frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.3766,0.3497,0.1467,0.3896,1.1143,0.0151,1.0655,0.1646
frozenset({'soda'}),frozenset({'rolls/buns'}),0.3135,0.3497,0.1198,0.3822,1.0929,0.0102,1.0526,0.1239
frozenset({'rolls/buns'}),frozenset({'soda'}),0.3497,0.3135,0.1198,0.3426,1.0929,0.0102,1.0443,0.1307
frozenset({'whole milk'}),frozenset({'soda'}),0.4582,0.3135,0.1511,0.3298,1.052,0.0075,1.0243,0.0912
frozenset({'other vegetables'}),frozenset({'soda'}),0.3766,0.3135,0.1242,0.3297,1.0517,0.0061,1.0242,0.0788
frozenset({'whole milk'}),frozenset({'yogurt'}),0.4582,0.283,0.1506,0.3287,1.1615,0.0209,1.0681,0.2566
frozenset({'other vegetables'}),frozenset({'yogurt'}),0.3766,0.283,0.1203,0.3195,1.129,0.0138,1.0537,0.1833
frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.3497,0.283,0.1113,0.3184,1.1253,0.0124,1.052,0.1712
