Unnamed: 0,antecedents,consequents,support,antecedents categories,consequents categories
1,frozenset({'bottled water'}),frozenset({'whole milk'}),0.1124,beverage,dairy
2,frozenset({'sausage'}),frozenset({'whole milk'}),0.107,meat,dairy
3,frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.1786,carbs,dairy
4,frozenset({'other vegetables'}),frozenset({'whole milk'}),0.1914,fruit and veg,dairy
5,frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.1165,fruit and veg,dairy
6,frozenset({'root vegetables'}),frozenset({'whole milk'}),0.1131,fruit and veg,dairy
7,frozenset({'soda'}),frozenset({'whole milk'}),0.1511,beverage,dairy
8,frozenset({'yogurt'}),frozenset({'other vegetables'}),0.1203,dairy,fruit and veg
9,frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.1467,carbs,fruit and veg
10,frozenset({'whole milk'}),frozenset({'other vegetables'}),0.1914,dairy,fruit and veg
11,frozenset({'soda'}),frozenset({'other vegetables'}),0.1242,beverage,fruit and veg
12,frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.1113,dairy,carbs
13,frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.1786,dairy,carbs
14,frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.1467,fruit and veg,carbs
15,frozenset({'soda'}),frozenset({'rolls/buns'}),0.1198,beverage,carbs
16,frozenset({'rolls/buns'}),frozenset({'soda'}),0.1198,carbs,beverage
17,frozenset({'whole milk'}),frozenset({'soda'}),0.1511,dairy,beverage
18,frozenset({'other vegetables'}),frozenset({'soda'}),0.1242,fruit and veg,beverage
20,frozenset({'other vegetables'}),frozenset({'yogurt'}),0.1203,fruit and veg,dairy
21,frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.1113,carbs,dairy
